2020-05-12
 15:40:31.189115900
Data/j60/J60 
  BRANCHEMENT STATIQUE 
Inst |old_time |old_backt |makespan |old_prop |new_time |new_backt |makespan |new_prop|  
j60_12_1.rcp | 0.0146192 | 23 | 59 | 0 | 0.0102784 | 23 | 59 | 1 |  
j60_12_2.rcp | 0.0169001 | 25 | 58 | 0 | 0.011685 | 25 | 58 | 2 |  
j60_12_3.rcp | 0.0136857 | 21 | 75 | 0 | 0.0094402 | 21 | 75 | 0 |  
j60_12_4.rcp | 0.0185751 | 22 | 69 | 0 | 0.0117116 | 22 | 69 | 0 |  
j60_12_5.rcp | 0.0183502 | 23 | 63 | 1 | 0.0166742 | 23 | 63 | 3 |  
j60_12_6.rcp | 0.0188408 | 27 | 54 | 0 | 0.015959 | 27 | 54 | 1 |  
j60_12_7.rcp | 0.0146055 | 24 | 71 | 0 | 0.0105706 | 24 | 71 | 0 |  
j60_12_8.rcp | 0.0135307 | 22 | 60 | 0 | 0.0094045 | 22 | 60 | 0 |  
j60_12_9.rcp | 0.0148963 | 19 | 59 | 2 | 0.009551 | 19 | 59 | 2 |  
j60_12_10.rcp | 0.0159095 | 24 | 79 | 1 | 0.0117539 | 24 | 79 | 2 |  
j60_13_1.rcp | 300.01813 | 550634 | -1 | 58734 | 300.02942 | 83067 | -1 | 225107 |  
j60_13_2.rcp | 300.0121 | 260562 | -1 | 134809 | 300.01578 | 220490 | -1 | 191711 |  
j60_13_3.rcp | 300.0107 | 421867 | -1 | 27264 | 300.01733 | 122313 | -1 | 161182 |  
j60_13_4.rcp | 300.01785 | 910358 | -1 | 993 | 300.01486 | 187386 | -1 | 381477 |  
j60_13_5.rcp | 300.0205 | 372170 | -1 | 145147 | 300.0159 | 95081 | -1 | 229028 |  
j60_13_6.rcp | 300.0176 | 271177 | -1 | 156987 | 300.01895 | 127141 | -1 | 237277 |  
j60_13_7.rcp | 300.01797 | 598549 | -1 | 156609 | 300.0127 | 74276 | -1 | 110755 |  
j60_13_8.rcp | 300.00055 | 340881 | -1 | 158995 | 300.00064 | 184016 | -1 | 220449 |  
j60_13_9.rcp | 300.00964 | 468639 | -1 | 23246 | 300.01843 | 217389 | -1 | 303790 |  
j60_13_10.rcp | 300.01904 | 395427 | -1 | 67833 | 300.00894 | 366108 | -1 | 70930 |  
j60_14_1.rcp | 300.02267 | 309188 | -1 | 94247 | 300.01007 | 290711 | -1 | 244446 |  
j60_14_2.rcp | 300.0164 | 188681 | -1 | 213555 | 300.00076 | 167532 | -1 | 350603 |  
j60_14_3.rcp | 300.0196 | 370364 | -1 | 9771 | 300.01382 | 251216 | -1 | 187491 |  
j60_14_4.rcp | 300.00873 | 417192 | -1 | 103974 | 300.00177 | 163433 | -1 | 402217 |  
j60_14_5.rcp | 300.01236 | 239270 | -1 | 96501 | 300.00076 | 190979 | -1 | 317468 |  
j60_14_6.rcp | 300.00076 | 262143 | -1 | 105427 | 300.0131 | 254805 | -1 | 227607 |  
j60_14_7.rcp | 300.00018 | 226807 | -1 | 76278 | 300.00037 | 180562 | -1 | 536562 |  
j60_14_8.rcp | 0.0661999 | 32 | 88 | 8 | 0.0454375 | 32 | 88 | 24 |  
j60_14_9.rcp | 300.00223 | 241831 | -1 | 192844 | 300.0008 | 205863 | -1 | 518952 |  
j60_14_10.rcp | 300.00073 | 284085 | -1 | 211699 | 300.007 | 93600 | -1 | 381319 |  
j60_15_1.rcp | 0.0347031 | 22 | 84 | 3 | 0.0240635 | 22 | 84 | 4 |  
j60_15_2.rcp | 0.0328197 | 20 | 89 | 1 | 0.0262222 | 20 | 89 | 9 |  
j60_15_3.rcp | 0.0393316 | 37 | 72 | 5 | 0.0355993 | 37 | 72 | 10 |  
j60_15_4.rcp | 0.0608525 | 48 | 75 | 10 | 0.0524196 | 48 | 75 | 7 |  
j60_15_5.rcp | 38.342827 | 38495 | 70 | 8758 | 30.85172 | 38495 | 70 | 25587 |  
j60_15_6.rcp | 0.0338157 | 23 | 76 | 1 | 0.0262777 | 23 | 76 | 6 |  
j60_15_7.rcp | 78.5026 | 60080 | 64 | 23838 | 28.680285 | 27716 | 64 | 23166 |  
j60_15_8.rcp | 1.7555373 | 1755 | 79 | 6 | 1.4726573 | 1755 | 79 | 351 |  
j60_15_9.rcp | 0.0294865 | 29 | 72 | 1 | 0.0221063 | 29 | 72 | 2 |  
j60_15_10.rcp | 0.0299681 | 24 | 61 | 0 | 0.0184353 | 24 | 61 | 1 |  
j60_16_1.rcp | 0.0192502 | 21 | 64 | 0 | 0.0137198 | 21 | 64 | 0 |  
j60_16_2.rcp | 0.0185609 | 22 | 64 | 0 | 0.0131384 | 22 | 64 | 0 |  
j60_16_3.rcp | 0.0258755 | 25 | 53 | 0 | 0.0168713 | 25 | 53 | 0 |  
j60_16_4.rcp | 0.029303 | 26 | 60 | 0 | 0.0180678 | 26 | 60 | 1 |  
j60_16_5.rcp | 0.0210517 | 23 | 66 | 0 | 0.0136744 | 23 | 66 | 0 |  
j60_16_6.rcp | 0.0239867 | 25 | 66 | 0 | 0.0167112 | 25 | 66 | 0 |  
j60_16_7.rcp | 0.0311082 | 25 | 82 | 4 | 0.0212802 | 25 | 82 | 5 |  
j60_16_8.rcp | 0.0213206 | 24 | 68 | 0 | 0.01523 | 24 | 68 | 0 |  
j60_16_9.rcp | 0.0256852 | 27 | 54 | 1 | 0.0171798 | 27 | 54 | 1 |  
j60_16_10.rcp | 0.0215872 | 22 | 68 | 0 | 0.0158551 | 22 | 68 | 1 |  
j60_17_1.rcp | 300.02206 | 1337646 | -1 | 1950030 | 300.00052 | 1114978 | -1 | 2198360 |  
j60_17_2.rcp | 300.00824 | 2992923 | -1 | 640007 | 300.00006 | 2997551 | -1 | 681472 |  
j60_17_3.rcp | 300.0003 | 1161664 | -1 | 2543726 | 300.01245 | 970290 | -1 | 1329056 |  
j60_17_4.rcp | 0.0330682 | 38 | 71 | 67 | 0.0090046 | 38 | 71 | 70 |  
j60_17_5.rcp | 58.47349 | 436491 | 59 | 127204 | 61.58738 | 436491 | 59 | 202311 |  
j60_17_6.rcp | 300.0189 | 1588227 | -1 | 1305944 | 300.00674 | 1444581 | -1 | 1566179 |  
j60_17_7.rcp | 0.0191002 | 42 | 83 | 87 | 0.0106595 | 42 | 83 | 98 |  
j60_17_8.rcp | 300.00046 | 1233273 | -1 | 2747323 | 300.00113 | 757489 | -1 | 2517588 |  
j60_17_9.rcp | 0.015783 | 57 | 76 | 49 | 0.0140598 | 57 | 76 | 76 |  
j60_17_10.rcp | 4.0176144 | 29696 | 72 | 53284 | 4.4817576 | 30608 | 72 | 64680 |  
j60_18_1.rcp | 0.0060206 | 26 | 81 | 9 | 0.0051449 | 26 | 81 | 16 |  
j60_18_2.rcp | 0.0042757 | 28 | 69 | 13 | 0.0046307 | 28 | 69 | 21 |  
j60_18_3.rcp | 0.0043327 | 26 | 77 | 8 | 0.0163571 | 26 | 77 | 16 |  
j60_18_4.rcp | 0.0147237 | 19 | 71 | 6 | 0.0046812 | 19 | 71 | 15 |  
j60_18_5.rcp | 0.0070737 | 28 | 80 | 11 | 0.004253 | 28 | 80 | 16 |  
j60_18_6.rcp | 0.0070135 | 24 | 61 | 9 | 0.0037813 | 24 | 61 | 13 |  
j60_18_7.rcp | 0.0074242 | 38 | 93 | 9 | 0.0085294 | 38 | 93 | 18 |  
j60_18_8.rcp | 0.0043933 | 28 | 78 | 12 | 0.0045386 | 28 | 78 | 18 |  
j60_18_9.rcp | 0.0041499 | 36 | 69 | 9 | 0.005322 | 36 | 69 | 18 |  
j60_18_10.rcp | 0.0048527 | 30 | 97 | 4 | 0.003732 | 30 | 97 | 9 |  
j60_19_1.rcp | 0.0038833 | 28 | 62 | 5 | 0.0039487 | 28 | 62 | 5 |  
j60_19_2.rcp | 0.0040331 | 25 | 83 | 10 | 0.003959 | 25 | 83 | 14 |  
j60_19_3.rcp | 0.0052502 | 34 | 83 | 7 | 0.0053571 | 34 | 83 | 11 |  
j60_19_4.rcp | 0.0033831 | 26 | 67 | 7 | 0.0025821 | 26 | 67 | 10 |  
j60_19_5.rcp | 0.0033776 | 22 | 73 | 3 | 0.0031634 | 22 | 73 | 7 |  
j60_19_6.rcp | 0.0037007 | 21 | 69 | 4 | 0.0036546 | 21 | 69 | 6 |  
j60_19_7.rcp | 0.0043812 | 31 | 60 | 7 | 0.0037171 | 31 | 60 | 8 |  
j60_19_8.rcp | 0.0068644 | 40 | 87 | 12 | 0.0087843 | 40 | 87 | 18 |  
j60_19_9.rcp | 0.0058958 | 35 | 69 | 5 | 0.0055323 | 35 | 69 | 12 |  
j60_19_10.rcp | 0.0039911 | 28 | 78 | 6 | 0.0035286 | 28 | 78 | 10 |  
j60_20_1.rcp | 0.0024694 | 22 | 60 | 1 | 0.0019543 | 22 | 60 | 2 |  
j60_20_2.rcp | 0.0027959 | 21 | 78 | 3 | 0.0024981 | 21 | 78 | 5 |  
j60_20_3.rcp | 0.0029462 | 21 | 69 | 2 | 0.0027331 | 21 | 69 | 4 |  
j60_20_4.rcp | 0.0026123 | 24 | 86 | 0 | 0.0023013 | 24 | 86 | 1 |  
j60_20_5.rcp | 0.0029197 | 25 | 71 | 0 | 0.0026251 | 25 | 71 | 0 |  
j60_20_6.rcp | 0.0031264 | 26 | 97 | 0 | 0.0028378 | 26 | 97 | 1 |  
j60_20_7.rcp | 0.0025288 | 20 | 74 | 0 | 0.0020599 | 20 | 74 | 0 |  
j60_20_8.rcp | 0.0034066 | 28 | 65 | 1 | 0.0027558 | 28 | 65 | 3 |  
j60_20_9.rcp | 0.0033645 | 23 | 74 | 4 | 0.0035593 | 23 | 74 | 6 |  
