2020-05-16
 10:19:56.445164600
Data/KSD15/ 
  BRANCHEMENT STATIQUE 
Inst |old_time |old_backt |makespan |old_prop |new_time |new_backt |makespan |new_prop|  
j30_10_10.rcp | 0.002455 | 10 | 426 | 0 | 0.0010558 | 10 | 426 | 0 |  
j30_11_1.rcp | 8.315E-4 | 7 | 631 | 0 | 8.181E-4 | 7 | 631 | 2 |  
j30_11_2.rcp | 0.0303822 | 243 | 380 | 0 | 0.0266996 | 243 | 380 | 0 |  
j30_11_3.rcp | 0.0014466 | 8 | 588 | 0 | 9.316E-4 | 8 | 588 | 4 |  
j30_11_4.rcp | 9.514E-4 | 9 | 613 | 0 | 0.0010198 | 9 | 613 | 2 |  
j30_11_5.rcp | 0.0013351 | 11 | 461 | 1 | 0.002041 | 11 | 461 | 4 |  
j30_11_6.rcp | 0.001112 | 9 | 382 | 0 | 0.0010756 | 9 | 382 | 1 |  
j30_11_7.rcp | 8.03E-4 | 9 | 427 | 0 | 8.227E-4 | 9 | 427 | 0 |  
j30_11_8.rcp | 300.00006 | 3381074 | -1 | 1037641 | 300.0001 | 2996928 | -1 | 2118823 |  
j30_11_9.rcp | 6.835E-4 | 8 | 508 | 0 | 5.902E-4 | 8 | 508 | 0 |  
j30_11_10.rcp | 0.0013759 | 9 | 438 | 1 | 9.616E-4 | 9 | 438 | 4 |  
j30_12_1.rcp | 9.643E-4 | 11 | 416 | 0 | 0.0013168 | 11 | 416 | 1 |  
j30_12_2.rcp | 7.187E-4 | 10 | 340 | 0 | 7.057E-4 | 10 | 340 | 0 |  
j30_12_3.rcp | 8.444E-4 | 10 | 305 | 0 | 6.948E-4 | 10 | 305 | 0 |  
j30_12_4.rcp | 6.89E-4 | 10 | 505 | 0 | 7.584E-4 | 10 | 505 | 0 |  
j30_12_5.rcp | 8.711E-4 | 12 | 276 | 0 | 8.238E-4 | 12 | 276 | 0 |  
j30_12_6.rcp | 0.0012974 | 11 | 270 | 0 | 0.0015373 | 11 | 270 | 3 |  
j30_12_7.rcp | 0.001097 | 10 | 266 | 0 | 9.863E-4 | 10 | 266 | 0 |  
j30_12_8.rcp | 0.0011833 | 10 | 258 | 0 | 7.847E-4 | 10 | 258 | 0 |  
j30_12_9.rcp | 8.334E-4 | 10 | 305 | 0 | 7.441E-4 | 10 | 305 | 1 |  
j30_12_10.rcp | 8.963E-4 | 11 | 334 | 0 | 7.941E-4 | 11 | 334 | 0 |  
j30_13_1.rcp | 300.00018 | 1509035 | -1 | 1369366 | 300.0003 | 1272682 | -1 | 1700431 |  
j30_13_2.rcp | 300.00012 | 1682833 | -1 | 782213 | 300.00012 | 1472852 | -1 | 1274934 |  
j30_13_3.rcp | 300.00046 | 1151318 | -1 | 1003262 | 300.00064 | 1109277 | -1 | 975088 |  
j30_13_4.rcp | 300.0001 | 860156 | -1 | 1411933 | 300.00003 | 729045 | -1 | 1198582 |  
j30_13_5.rcp | 0.0050984 | 11 | 606 | 5 | 0.0045475 | 11 | 606 | 10 |  
j30_13_6.rcp | 300.0003 | 1974702 | -1 | 1054936 | 300.00015 | 321156 | -1 | 1085790 |  
j30_13_7.rcp | 300.00012 | 935617 | -1 | 831142 | 300.00052 | 824279 | -1 | 846665 |  
j30_13_8.rcp | 300.00006 | 1513417 | -1 | 1748090 | 300.00006 | 1659978 | -1 | 1767471 |  
j30_13_9.rcp | 31.494211 | 164439 | 484 | 60582 | 33.964714 | 164439 | 484 | 60600 |  
j30_13_10.rcp | 300.00003 | 1256349 | -1 | 629067 | 300.00055 | 1102286 | -1 | 705983 |  
j30_14_1.rcp | 0.0038317 | 9 | 252 | 0 | 0.0017399 | 9 | 252 | 6 |  
j30_14_2.rcp | 300.00006 | 1629240 | -1 | 678294 | 300.00012 | 1768614 | -1 | 751469 |  
j30_14_3.rcp | 0.0016108 | 8 | 392 | 1 | 0.0013815 | 8 | 392 | 3 |  
j30_14_4.rcp | 0.0040374 | 23 | 313 | 0 | 0.0051354 | 23 | 313 | 9 |  
j30_14_5.rcp | 0.0017392 | 10 | 410 | 0 | 0.0020408 | 10 | 410 | 5 |  
j30_14_6.rcp | 0.0015044 | 8 | 284 | 1 | 0.0013004 | 8 | 284 | 1 |  
j30_14_7.rcp | 0.0028619 | 12 | 386 | 5 | 0.0021921 | 12 | 386 | 11 |  
j30_14_8.rcp | 0.0012982 | 9 | 532 | 1 | 0.0018565 | 9 | 532 | 2 |  
j30_14_9.rcp | 0.0019176 | 10 | 433 | 2 | 0.0018759 | 10 | 433 | 9 |  
j30_14_10.rcp | 0.0080716 | 57 | 265 | 4 | 0.0125909 | 57 | 265 | 7 |  
j30_15_1.rcp | 0.0145279 | 95 | 338 | 0 | 0.0138212 | 95 | 338 | 0 |  
