2020-06-22
 14:32:41.784911100
Data/J30/ 
  BRANCHEMENT STATIQUE 
Inst |old_time |old_backt |makespan |old_prop |new_time |new_backt |makespan |new_prop|  
j30_8_7.rcp | 0.0036507 | 11 | 41 | 1 | 0.0017241 | 11 | 41 | 1 |  
j30_8_8.rcp | 0.0036462 | 15 | 51 | 3 | 0.0021058 | 15 | 51 | 3 |  
j30_8_9.rcp | 0.0033136 | 15 | 39 | 0 | 0.0016455 | 15 | 39 | 0 |  
j30_8_10.rcp | 0.0062018 | 14 | 67 | 1 | 0.0032756 | 14 | 67 | 1 |  
j30_9_1.rcp | 300.00037 | 237505 | -1 | 859787 | 300.00107 | 375583 | -1 | 1357427 |  
j30_9_2.rcp | 300.00052 | 278164 | -1 | 808758 | 300.0011 | 424110 | -1 | 1183177 |  
j30_9_3.rcp | 300.00034 | 186639 | -1 | 810835 | 300.00064 | 277438 | -1 | 1286785 |  
j30_9_4.rcp | 300.0024 | 179582 | -1 | 687233 | 300.00024 | 284666 | -1 | 1141048 |  
j30_9_5.rcp | 300.00388 | 178232 | -1 | 318398 | 300.0011 | 392836 | -1 | 744286 |  
j30_9_6.rcp | 300.00076 | 257716 | -1 | 720511 | 300.00146 | 428032 | -1 | 1187349 |  
j30_9_7.rcp | 300.00128 | 446197 | -1 | 864738 | 300.00125 | 714059 | -1 | 1385028 |  
j30_9_8.rcp | 300.00082 | 171041 | -1 | 707450 | 300.00012 | 264955 | -1 | 1069553 |  
j30_9_9.rcp | 300.00238 | 235644 | -1 | 872524 | 300.00247 | 352936 | -1 | 1340516 |  
j30_9_10.rcp | 300.0008 | 289511 | -1 | 585778 | 300.00015 | 535676 | -1 | 1054392 |  
j30_10_1.rcp | 0.0100026 | 16 | 42 | 6 | 0.0052808 | 16 | 42 | 6 |  
j30_10_2.rcp | 300.00226 | 350932 | -1 | 441429 | 300.00006 | 603559 | -1 | 785047 |  
j30_10_3.rcp | 57.51931 | 57870 | 62 | 96967 | 32.884953 | 57870 | 62 | 99690 |  
j30_10_4.rcp | 300.00024 | 481710 | -1 | 319818 | 300.00018 | 800277 | -1 | 532501 |  
j30_10_5.rcp | 6.6015964 | 9730 | 41 | 13550 | 3.2115853 | 9730 | 41 | 14546 |  
j30_10_6.rcp | 17.625648 | 22312 | 44 | 21936 | 11.329747 | 22312 | 44 | 24446 |  
j30_10_7.rcp | 0.1180924 | 230 | 49 | 130 | 0.0601232 | 230 | 49 | 130 |  
j30_10_8.rcp | 300.00015 | 470064 | -1 | 104334 | 208.66798 | 514107 | 54 | 113674 |  
j30_10_9.rcp | 0.0184068 | 38 | 49 | 27 | 0.0092404 | 38 | 49 | 27 |  
j30_10_10.rcp | 300.00027 | 484747 | -1 | 450923 | 300.00012 | 759872 | -1 | 730125 |  
j30_11_1.rcp | 300.00055 | 323726 | -1 | 279734 | 300.0004 | 538757 | -1 | 471186 |  
j30_11_2.rcp | 0.0384426 | 50 | 56 | 25 | 0.0236968 | 50 | 56 | 31 |  
j30_11_3.rcp | 0.0100498 | 19 | 81 | 10 | 0.0048834 | 19 | 81 | 10 |  
j30_11_4.rcp | 0.0173078 | 22 | 63 | 11 | 0.008405 | 22 | 63 | 11 |  
j30_11_5.rcp | 26.231918 | 33858 | 49 | 64743 | 16.227175 | 33858 | 49 | 66115 |  
j30_11_6.rcp | 2.0518613 | 4489 | 44 | 1504 | 0.90833175 | 4489 | 44 | 1504 |  
j30_11_7.rcp | 0.0126321 | 282020-06-22
 21:23:36.127698600
Data/J30/ 
  BRANCHEMENT STATIQUE 
Inst |old_time |old_backt |makespan |old_prop |new_time |new_backt |makespan |new_prop|  
j30_12_1.rcp | 0.0547772 | 12 | 47 | 7 | 0.031834 | 12 | 47 | 7 |  
j30_12_2.rcp | 0.0110431 | 11 | 46 | 4 | 0.0112314 | 11 | 46 | 4 |  
j30_12_3.rcp | 0.0113265 | 14 | 37 | 5 | 0.0114521 | 14 | 37 | 5 |  
j30_12_4.rcp | 0.0113415 | 12 | 63 | 1 | 0.014471 | 12 | 63 | 1 |  
